

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
2198.245  030.573  015.362: require('mason-core.installer.context')
2213.006  014.759  014.759: require('mason-core.async.control')
2226.670  013.662  013.662: require('mason-core.installer.linker')
2226.676  074.193  015.200: require('mason-core.installer')
2226.705  088.916  014.723: require('mason-core.installer.managers.std')
2226.707  102.537  013.621: require('mason-core.installer.registry.schemas')
2241.140  014.431  014.431: require('mason-core.installer.registry.util')
2241.150  163.420  016.195: require('mason-core.installer.registry')
2241.153  199.976  011.541: require('mason-registry.sources.util')
2241.164  292.547  011.551: require('mason-registry.sources.github')
2272.781  013.091  013.091: require('mason-core.functional.number')
2272.803  026.359  013.268: require('mason-lspconfig.api.command')
2282.637  004.443  004.443: require('cmp_nvim_lsp.source')
2282.641  009.225  004.782: require('cmp_nvim_lsp')
2282.668  009.862  000.637: require('user.lsp.handlers')
2299.942  017.264  017.264: require('lspconfig.server_configurations.cssls')
2363.967  018.036  018.036: require('lspconfig.manager')
2385.213  021.233  021.233: require('lspconfig.server_configurations.cssmodules_ls')
2443.314  000.684  000.684: require('user.lsp.settings.emmet_ls')
2463.899  020.572  020.572: require('lspconfig.server_configurations.emmet_ls')
2532.310  020.452  020.452: require('lspconfig.server_configurations.html')
2584.906  000.355  000.355: require('user.lsp.settings.solc')
2601.481  016.567  016.567: require('lspconfig.server_configurations.solc')
2656.866  012.564  012.564: require('neodev')
2668.649  011.780  011.780: require('neodev.config')
2694.931  014.018  014.018: require('neodev.util')
2694.934  026.272  012.254: require('neodev.lsp')
2752.253  016.375  016.375: require('lspconfig.server_configurations.lua_ls')
2811.003  017.153  017.153: require('lspconfig.server_configurations.tflint')
2870.338  016.960  016.960: require('lspconfig.server_configurations.terraformls')
2918.316  000.374  000.374: require('user.lsp.settings.tsserver')
2935.889  017.563  017.563: require('lspconfig.server_configurations.tsserver')
2977.939  000.368  000.368: require('user.lsp.settings.pyright')
2994.482  016.534  016.534: require('lspconfig.server_configurations.pyright')
3036.109  000.340  000.340: require('user.lsp.settings.yamlls')
3052.183  016.044  016.044: require('lspconfig.server_configurations.yamlls')
